station,lines,family,confidence,has_topology,additions
Periférico Oriente,L12,J — Elevada de L12 oriente (Tláhuac),provisional,no,—
Pino Suárez,L1+L2,B — Cajón con acceso directo a la calle,confirmada,sí,transbordo L1+L2; 8 accesos; 8 esc. eléctricas
Plaza Aragón,LB,L — Elevada de LB norte,provisional,no,—
Polanco,L7,G — Profunda de L7 en cascada,confirmada,sí,8 esc. eléctricas
Politécnico,L5,M — Cajón subterráneo sin levantar (L5 norte y L6 poniente),provisional,no,terminal
Popotla,L2,A — Cajón clásico con edificio de acceso,confirmada,sí,1 esc. eléctricas
Portales,L2,D — Superficie de Calzada de Tlalpan,confirmada,sí,2 esc. eléctricas
Potrero,L3,B — Cajón con acceso directo a la calle,provisional,no,—
Puebla,L9,H — Elevada de L9 oriente,confirmada,sí,2 esc. eléctricas
Refinería,L7,G — Profunda de L7 en cascada,confirmada,sí,8 esc. eléctricas
Revolución,L2,A — Cajón clásico con edificio de acceso,confirmada,sí,2 esc. eléctricas
Ricardo Flores Magón,LB,B — Cajón con acceso directo a la calle,provisional,no,—
Romero Rubio,LB,B — Cajón con acceso directo a la calle,provisional,no,—
Río de los Remedios,LB,L — Elevada de LB norte,provisional,no,—
Salto del Agua,L1+L8,B — Cajón con acceso directo a la calle,confirmada,sí,transbordo L1+L8; 6 accesos; 7 esc. eléctricas
San Andrés Tomatlán,L12,J — Elevada de L12 oriente (Tláhuac),provisional,no,—
San Antonio,L7,G — Profunda de L7 en cascada,confirmada,sí,8 esc. eléctricas
San Antonio Abad,L2,D — Superficie de Calzada de Tlalpan,confirmada,sí,2 esc. eléctricas
San Cosme,L2,A — Cajón clásico con edificio de acceso,confirmada,sí,2 esc. eléctricas
San Joaquín,L7,G — Profunda de L7 en cascada,confirmada,sí,10 esc. eléctricas
San Juan de Letrán,L8,A — Cajón clásico con edificio de acceso,confirmada,sí,—
San Lázaro,L1+LB,Z — Gran nodo de transbordo (caso individual),individual,sí,transbordo L1+LB; 7 accesos; 3 esc. eléctricas
San Pedro de los Pinos,L7,G — Profunda de L7 en cascada,confirmada,sí,10 esc. eléctricas
Santa Anita,L4+L8,Z — Gran nodo de transbordo (caso individual),individual,sí,transbordo L4+L8; terminal; 10 accesos; 4 esc. eléctricas
Santa Marta,LA,I — Elevada de LA (Los Reyes),provisional,no,—
Sevilla,L1,A — Cajón clásico con edificio de acceso,confirmada,sí,2 esc. eléctricas
Tacuba,L2+L7,A — Cajón clásico con edificio de acceso,confirmada,sí,transbordo L2+L7; 6 accesos; 16 esc. eléctricas
Tacubaya,L1+L7+L9,Z — Gran nodo de transbordo (caso individual),individual,sí,transbordo L1+L7+L9; 11 accesos; 24 esc. eléctricas
Talismán,L4,F — Elevada de L4 (Circuito Interior),confirmada,sí,—
Tasqueña,L2,O — Terminal con andenes de maniobra,provisional,no,terminal
Tepalcates,LA,I — Elevada de LA (Los Reyes),provisional,no,—
Tepito,LB,B — Cajón con acceso directo a la calle,confirmada,sí,—
Terminal Aérea,L5,N — Superficie y elevada de L5 oriente,provisional,no,—
Tezonco,L12,J — Elevada de L12 oriente (Tláhuac),provisional,no,—
Tezozómoc,L6,M — Cajón subterráneo sin levantar (L5 norte y L6 poniente),provisional,no,—
Tlaltenco,L12,J — Elevada de L12 oriente (Tláhuac),provisional,no,—
Tlatelolco,L3,B — Cajón con acceso directo a la calle,provisional,no,—
Tláhuac,L12,J — Elevada de L12 oriente (Tláhuac),provisional,no,terminal
UAM Azcapotzalco,L6,M — Cajón subterráneo sin levantar (L5 norte y L6 poniente),provisional,no,—
UAM-I,L8,B — Cajón con acceso directo a la calle,confirmada,sí,—
Universidad,L3,O — Terminal con andenes de maniobra,confirmada,sí,terminal; 10 accesos
Valle Gómez,L5,M — Cajón subterráneo sin levantar (L5 norte y L6 poniente),provisional,no,—
Vallejo,L6,C — Cajón profundo de vestíbulo único,confirmada,sí,—
Velódromo,L9,H — Elevada de L9 oriente,confirmada,sí,elevador; 2 esc. eléctricas
Viaducto,L2,D — Superficie de Calzada de Tlalpan,confirmada,sí,2 esc. eléctricas
Villa de Aragón,LB,L — Elevada de LB norte,provisional,no,—
Villa de Cortés,L2,D — Superficie de Calzada de Tlalpan,confirmada,sí,2 esc. eléctricas
Viveros y  Derechos Humanos,L3,B — Cajón con acceso directo a la calle,provisional,no,—
Xola,L2,D — Superficie de Calzada de Tlalpan,confirmada,sí,2 esc. eléctricas
Zapata,L3+L12,C — Cajón profundo de vestíbulo único,provisional,no,transbordo L3+L12
Zapotitlán,L12,J — Elevada de L12 oriente (Tláhuac),provisional,no,—
Zaragoza,L1,A — Cajón clásico con edificio de acceso,confirmada,sí,9 accesos; 3 esc. eléctricas
Zócalo,L2,C — Cajón profundo de vestíbulo único,confirmada,sí,8 accesos; 4 esc. eléctricas
